row_idx,original_sample_idx,variant_kind,variant_index,perturbation_op,gold_numeric
111,55,perturbation,1,distractor_irrelevant,14
112,56,original,0,,3
113,56,perturbation,1,distractor_irrelevant,3
114,57,original,0,,83
115,57,perturbation,1,distractor_irrelevant,83
116,58,original,0,,57
117,58,perturbation,1,distractor_irrelevant,57
118,59,original,0,,187
119,59,perturbation,1,distractor_irrelevant,187
120,60,original,0,,17
121,60,perturbation,1,distractor_irrelevant,17
122,61,original,0,,1430
123,61,perturbation,1,distractor_irrelevant,1430
124,62,original,0,,25000
125,62,perturbation,1,distractor_irrelevant,25000
126,63,original,0,,1596
127,63,perturbation,1,distractor_irrelevant,1596
128,64,original,0,,300
129,64,perturbation,1,distractor_irrelevant,300
130,65,original,0,,36
131,65,perturbation,1,distractor_irrelevant,36
132,66,original,0,,48
133,66,perturbation,1,distractor_irrelevant,48
134,67,original,0,,595
135,67,perturbation,1,distractor_irrelevant,595
136,68,original,0,,36
137,68,perturbation,1,distractor_irrelevant,36
138,69,original,0,,60
139,69,perturbation,1,distractor_irrelevant,60
140,70,original,0,,7425
141,70,perturbation,1,distractor_irrelevant,7425
142,71,original,0,,60
143,71,perturbation,1,distractor_irrelevant,60
144,72,original,0,,221
145,72,perturbation,1,distractor_irrelevant,221
146,73,original,0,,255
147,73,perturbation,1,distractor_irrelevant,255
148,74,original,0,,88
149,74,perturbation,1,distractor_irrelevant,88
150,75,original,0,,60
151,75,perturbation,1,distractor_irrelevant,60
152,76,original,0,,5
153,76,perturbation,1,distractor_irrelevant,5
154,77,original,0,,100
155,77,perturbation,1,distractor_irrelevant,100
156,78,original,0,,6
157,78,perturbation,1,distractor_irrelevant,6
158,79,original,0,,70
159,79,perturbation,1,distractor_irrelevant,70
160,80,original,0,,10
161,80,perturbation,1,distractor_irrelevant,10
162,81,original,0,,17
163,81,perturbation,1,distractor_irrelevant,17
164,82,original,0,,623
165,82,perturbation,1,distractor_irrelevant,623
166,83,original,0,,600
167,83,perturbation,1,distractor_irrelevant,600
168,84,original,0,,15
169,84,perturbation,1,distractor_irrelevant,15
170,85,original,0,,44
171,85,perturbation,1,distractor_irrelevant,44
172,86,original,0,,22
173,86,perturbation,1,distractor_irrelevant,22
174,87,original,0,,9360
175,87,perturbation,1,distractor_irrelevant,9360
176,88,original,0,,8000
177,88,perturbation,1,distractor_irrelevant,8000
178,89,original,0,,24
179,89,perturbation,1,distractor_irrelevant,24
180,90,original,0,,225
181,90,perturbation,1,distractor_irrelevant,225
182,91,original,0,,28
183,91,perturbation,1,distractor_irrelevant,28
184,92,original,0,,4
185,92,perturbation,1,distractor_irrelevant,4
186,93,original,0,,36
187,93,perturbation,1,distractor_irrelevant,36
188,94,original,0,,348
189,94,perturbation,1,distractor_irrelevant,348
190,95,original,0,,40
191,95,perturbation,1,distractor_irrelevant,40
192,96,original,0,,3
193,96,perturbation,1,distractor_irrelevant,3
194,97,original,0,,12
195,97,perturbation,1,distractor_irrelevant,12
196,98,original,0,,5
197,98,perturbation,1,distractor_irrelevant,5
198,99,original,0,,58
199,99,perturbation,1,distractor_irrelevant,58
200,100,original,0,,175
201,100,perturbation,1,distractor_irrelevant,175
202,101,original,0,,6
203,101,perturbation,1,distractor_irrelevant,6
204,102,original,0,,26
205,102,perturbation,1,distractor_irrelevant,26
206,103,original,0,,140
207,103,perturbation,1,distractor_irrelevant,140
208,104,original,0,,500
209,104,perturbation,1,distractor_irrelevant,500
210,105,original,0,,20
211,105,perturbation,1,distractor_irrelevant,20
212,106,original,0,,72
213,106,perturbation,1,distractor_irrelevant,72
214,107,original,0,,3
215,107,perturbation,1,distractor_irrelevant,3
216,108,original,0,,50
217,108,perturbation,1,distractor_irrelevant,50
218,109,original,0,,28
219,109,perturbation,1,distractor_irrelevant,28
220,110,original,0,,45
221,110,perturbation,1,distractor_irrelevant,45
222,111,original,0,,16
223,111,perturbation,1,distractor_irrelevant,16
224,112,original,0,,24
225,112,perturbation,1,distractor_irrelevant,24
226,113,original,0,,25
227,113,perturbation,1,distractor_irrelevant,25
228,114,original,0,,6
229,114,perturbation,1,distractor_irrelevant,6
230,115,original,0,,90
231,115,perturbation,1,distractor_irrelevant,90
232,116,original,0,,42
233,116,perturbation,1,distractor_irrelevant,42
234,117,original,0,,360
235,117,perturbation,1,distractor_irrelevant,360
236,118,original,0,,4
237,118,perturbation,1,distractor_irrelevant,4
238,119,original,0,,95200
239,119,perturbation,1,distractor_irrelevant,95200
240,120,original,0,,240
241,120,perturbation,1,distractor_irrelevant,240
242,121,original,0,,27
243,121,perturbation,1,distractor_irrelevant,27
244,122,original,0,,48
245,122,perturbation,1,distractor_irrelevant,48
246,123,original,0,,50
247,123,perturbation,1,distractor_irrelevant,50
248,124,original,0,,10
249,124,perturbation,1,distractor_irrelevant,10
250,125,original,0,,10
251,125,perturbation,1,distractor_irrelevant,10
252,126,original,0,,82
253,126,perturbation,1,distractor_irrelevant,82
254,127,original,0,,120
255,127,perturbation,1,distractor_irrelevant,120
256,128,original,0,,880
257,128,perturbation,1,distractor_irrelevant,880
258,129,original,0,,10000
259,129,perturbation,1,distractor_irrelevant,10000
260,130,original,0,,30
261,130,perturbation,1,distractor_irrelevant,30
262,131,original,0,,940
263,131,perturbation,1,distractor_irrelevant,940
264,132,original,0,,60
265,132,perturbation,1,distractor_irrelevant,60
266,133,original,0,,13
267,133,perturbation,1,distractor_irrelevant,13
268,134,original,0,,720
269,134,perturbation,1,distractor_irrelevant,720
270,135,original,0,,40
271,135,perturbation,1,distractor_irrelevant,40
272,136,original,0,,6
273,136,perturbation,1,distractor_irrelevant,6
274,137,original,0,,29
275,137,perturbation,1,distractor_irrelevant,29
276,138,original,0,,105
277,138,perturbation,1,distractor_irrelevant,105
278,139,original,0,,70
279,139,perturbation,1,distractor_irrelevant,70
280,140,original,0,,20
281,140,perturbation,1,distractor_irrelevant,20
282,141,original,0,,400
283,141,perturbation,1,distractor_irrelevant,400
284,142,original,0,,140
285,142,perturbation,1,distractor_irrelevant,140
286,143,original,0,,16
287,143,perturbation,1,distractor_irrelevant,16
288,144,original,0,,20
289,144,perturbation,1,distractor_irrelevant,20
290,145,original,0,,4000
291,145,perturbation,1,distractor_irrelevant,4000
292,146,original,0,,2125
293,146,perturbation,1,distractor_irrelevant,2125
294,147,original,0,,75
295,147,perturbation,1,distractor_irrelevant,75
296,148,original,0,,30
297,148,perturbation,1,distractor_irrelevant,30
298,149,original,0,,16
299,149,perturbation,1,distractor_irrelevant,16
300,150,original,0,,4
301,150,perturbation,1,distractor_irrelevant,4
302,151,original,0,,5
303,151,perturbation,1,distractor_irrelevant,5
304,152,original,0,,4
305,152,perturbation,1,distractor_irrelevant,4
306,153,original,0,,48
307,153,perturbation,1,distractor_irrelevant,48
308,154,original,0,,272
309,154,perturbation,1,distractor_irrelevant,272
310,155,original,0,,280
311,155,perturbation,1,distractor_irrelevant,280
312,156,original,0,,1400
313,156,perturbation,1,distractor_irrelevant,1400
314,157,original,0,,80
315,157,perturbation,1,distractor_irrelevant,80
316,158,original,0,,34
317,158,perturbation,1,distractor_irrelevant,34
318,159,original,0,,15
319,159,perturbation,1,distractor_irrelevant,15
320,160,original,0,,16
321,160,perturbation,1,distractor_irrelevant,16
322,161,original,0,,32
323,161,perturbation,1,distractor_irrelevant,32
324,162,original,0,,92
325,162,perturbation,1,distractor_irrelevant,92
326,163,original,0,,50
327,163,perturbation,1,distractor_irrelevant,50
328,164,original,0,,15
329,164,perturbation,1,distractor_irrelevant,15
330,165,original,0,,77
331,165,perturbation,1,distractor_irrelevant,77
332,166,original,0,,5
333,166,perturbation,1,distractor_irrelevant,5
334,167,original,0,,16
335,167,perturbation,1,distractor_irrelevant,16
336,168,original,0,,18
337,168,perturbation,1,distractor_irrelevant,18
338,169,original,0,,120
339,169,perturbation,1,distractor_irrelevant,120
340,170,original,0,,150
341,170,perturbation,1,distractor_irrelevant,150
342,171,original,0,,1210
343,171,perturbation,1,distractor_irrelevant,1210
344,172,original,0,,51
345,172,perturbation,1,distractor_irrelevant,51
346,173,original,0,,18000
347,173,perturbation,1,distractor_irrelevant,18000
348,174,original,0,,95
349,174,perturbation,1,distractor_irrelevant,95
350,175,original,0,,15
351,175,perturbation,1,distractor_irrelevant,15
352,176,original,0,,100
353,176,perturbation,1,distractor_irrelevant,100
354,177,original,0,,350
355,177,perturbation,1,distractor_irrelevant,350
356,178,original,0,,122
357,178,perturbation,1,distractor_irrelevant,122
358,179,original,0,,130
359,179,perturbation,1,distractor_irrelevant,130
360,180,original,0,,20
361,180,perturbation,1,distractor_irrelevant,20
362,181,original,0,,160
363,181,perturbation,1,distractor_irrelevant,160
364,182,original,0,,23
365,182,perturbation,1,distractor_irrelevant,23
366,183,original,0,,2
367,183,perturbation,1,distractor_irrelevant,2
368,184,original,0,,25
369,184,perturbation,1,distractor_irrelevant,25
370,185,original,0,,30
371,185,perturbation,1,distractor_irrelevant,30
372,186,original,0,,5
373,186,perturbation,1,distractor_irrelevant,5
374,187,original,0,,106
375,187,perturbation,1,distractor_irrelevant,106
376,188,original,0,,50
377,188,perturbation,1,distractor_irrelevant,50
378,189,original,0,,34
379,189,perturbation,1,distractor_irrelevant,34
380,190,original,0,,360
381,190,perturbation,1,distractor_irrelevant,360
382,191,original,0,,5
383,191,perturbation,1,distractor_irrelevant,5
384,192,original,0,,91
385,192,perturbation,1,distractor_irrelevant,91
386,193,original,0,,24
387,193,perturbation,1,distractor_irrelevant,24
388,194,original,0,,10
389,194,perturbation,1,distractor_irrelevant,10
390,195,original,0,,12
391,195,perturbation,1,distractor_irrelevant,12
392,196,original,0,,120
393,196,perturbation,1,distractor_irrelevant,120
394,197,original,0,,6277
395,197,perturbation,1,distractor_irrelevant,6277
396,198,original,0,,320
397,198,perturbation,1,distractor_irrelevant,320
398,199,original,0,,7500
399,199,perturbation,1,distractor_irrelevant,7500
400,200,original,0,,55
401,200,perturbation,1,distractor_irrelevant,55
402,201,original,0,,114200
403,201,perturbation,1,distractor_irrelevant,114200
404,202,original,0,,100
405,202,perturbation,1,distractor_irrelevant,100
406,203,original,0,,31
407,203,perturbation,1,distractor_irrelevant,31
408,204,original,0,,98
409,204,perturbation,1,distractor_irrelevant,98
410,205,original,0,,98
411,205,perturbation,1,distractor_irrelevant,98
412,206,original,0,,860
413,206,perturbation,1,distractor_irrelevant,860
414,207,original,0,,2600
415,207,perturbation,1,distractor_irrelevant,2600
416,208,original,0,,76
417,208,perturbation,1,distractor_irrelevant,76
418,209,original,0,,145
419,209,perturbation,1,distractor_irrelevant,145
420,210,original,0,,10
421,210,perturbation,1,distractor_irrelevant,10
422,211,original,0,,4
423,211,perturbation,1,distractor_irrelevant,4
424,212,original,0,,5
425,212,perturbation,1,distractor_irrelevant,5
426,213,original,0,,250
427,213,perturbation,1,distractor_irrelevant,250
428,214,original,0,,8
429,214,perturbation,1,distractor_irrelevant,8
430,215,original,0,,44
431,215,perturbation,1,distractor_irrelevant,44
432,216,original,0,,220
433,216,perturbation,1,distractor_irrelevant,220
434,217,original,0,,15
435,217,perturbation,1,distractor_irrelevant,15
436,218,original,0,,45
437,218,perturbation,1,distractor_irrelevant,45
438,219,original,0,,54
439,219,perturbation,1,distractor_irrelevant,54
440,220,original,0,,70
441,220,perturbation,1,distractor_irrelevant,70
442,221,original,0,,90
443,221,perturbation,1,distractor_irrelevant,90
444,222,original,0,,140
445,222,perturbation,1,distractor_irrelevant,140
446,223,original,0,,20000
447,223,perturbation,1,distractor_irrelevant,20000
448,224,original,0,,180
449,224,perturbation,1,distractor_irrelevant,180
450,225,original,0,,9
451,225,perturbation,1,distractor_irrelevant,9
452,226,original,0,,33
453,226,perturbation,1,distractor_irrelevant,33
454,227,original,0,,9
455,227,perturbation,1,distractor_irrelevant,9
456,228,original,0,,1
457,228,perturbation,1,distractor_irrelevant,1
458,229,original,0,,21
459,229,perturbation,1,distractor_irrelevant,21
460,230,original,0,,276000
461,230,perturbation,1,distractor_irrelevant,276000
462,231,original,0,,50
463,231,perturbation,1,distractor_irrelevant,50
464,232,original,0,,75
465,232,perturbation,1,distractor_irrelevant,75
466,233,original,0,,12
467,233,perturbation,1,distractor_irrelevant,12
468,234,original,0,,21
469,234,perturbation,1,distractor_irrelevant,21
470,235,original,0,,10
471,235,perturbation,1,distractor_irrelevant,10
472,236,original,0,,31
473,236,perturbation,1,distractor_irrelevant,31
474,237,original,0,,90
475,237,perturbation,1,distractor_irrelevant,90
476,238,original,0,,68
477,238,perturbation,1,distractor_irrelevant,68
478,239,original,0,,280
479,239,perturbation,1,distractor_irrelevant,280
480,240,original,0,,21
481,240,perturbation,1,distractor_irrelevant,21
482,241,original,0,,6
483,241,perturbation,1,distractor_irrelevant,6
484,242,original,0,,3
485,242,perturbation,1,distractor_irrelevant,3
486,243,original,0,,250
487,243,perturbation,1,distractor_irrelevant,250
488,244,original,0,,20
489,244,perturbation,1,distractor_irrelevant,20
490,245,original,0,,7
491,245,perturbation,1,distractor_irrelevant,7
492,246,original,0,,27000
493,246,perturbation,1,distractor_irrelevant,27000
494,247,original,0,,32
495,247,perturbation,1,distractor_irrelevant,32
496,248,original,0,,300
497,248,perturbation,1,distractor_irrelevant,300
498,249,original,0,,5600
499,249,perturbation,1,distractor_irrelevant,5600
500,250,original,0,,17
501,250,perturbation,1,distractor_irrelevant,17
502,251,original,0,,70
503,251,perturbation,1,distractor_irrelevant,70
504,252,original,0,,73
505,252,perturbation,1,distractor_irrelevant,73
506,253,original,0,,18
507,253,perturbation,1,distractor_irrelevant,18
508,254,original,0,,84
509,254,perturbation,1,distractor_irrelevant,84
510,255,original,0,,192
511,255,perturbation,1,distractor_irrelevant,192
512,256,original,0,,45
513,256,perturbation,1,distractor_irrelevant,45
514,257,original,0,,5600
515,257,perturbation,1,distractor_irrelevant,5600
516,258,original,0,,6
517,258,perturbation,1,distractor_irrelevant,6
518,259,original,0,,168
519,259,perturbation,1,distractor_irrelevant,168
520,260,original,0,,11
521,260,perturbation,1,distractor_irrelevant,11
522,261,original,0,,62
523,261,perturbation,1,distractor_irrelevant,62
524,262,original,0,,270
525,262,perturbation,1,distractor_irrelevant,270
526,263,original,0,,8
527,263,perturbation,1,distractor_irrelevant,8
528,264,original,0,,400
529,264,perturbation,1,distractor_irrelevant,400
530,265,original,0,,9500
531,265,perturbation,1,distractor_irrelevant,9500
532,266,original,0,,118000
533,266,perturbation,1,distractor_irrelevant,118000
534,267,original,0,,91
535,267,perturbation,1,distractor_irrelevant,91
536,268,original,0,,1375
537,268,perturbation,1,distractor_irrelevant,1375
538,269,original,0,,4
539,269,perturbation,1,distractor_irrelevant,4
540,270,original,0,,762
541,270,perturbation,1,distractor_irrelevant,762
542,271,original,0,,20
543,271,perturbation,1,distractor_irrelevant,20
544,272,original,0,,5
545,272,perturbation,1,distractor_irrelevant,5
546,273,original,0,,315
547,273,perturbation,1,distractor_irrelevant,315
548,274,original,0,,3200
549,274,perturbation,1,distractor_irrelevant,3200
550,275,original,0,,138
551,275,perturbation,1,distractor_irrelevant,138
552,276,original,0,,9
553,276,perturbation,1,distractor_irrelevant,9
554,277,original,0,,4
555,277,perturbation,1,distractor_irrelevant,4
556,278,original,0,,40
557,278,perturbation,1,distractor_irrelevant,40
558,279,original,0,,6
559,279,perturbation,1,distractor_irrelevant,6
560,280,original,0,,7
561,280,perturbation,1,distractor_irrelevant,7
562,281,original,0,,2450
563,281,perturbation,1,distractor_irrelevant,2450
564,282,original,0,,195
565,282,perturbation,1,distractor_irrelevant,195
566,283,original,0,,68
567,283,perturbation,1,distractor_irrelevant,68
568,284,original,0,,360
569,284,perturbation,1,distractor_irrelevant,360
570,285,original,0,,21
571,285,perturbation,1,distractor_irrelevant,21
572,286,original,0,,90
573,286,perturbation,1,distractor_irrelevant,90
574,287,original,0,,8
575,287,perturbation,1,distractor_irrelevant,8
576,288,original,0,,3
577,288,perturbation,1,distractor_irrelevant,3
578,289,original,0,,16
579,289,perturbation,1,distractor_irrelevant,16
580,290,original,0,,390
581,290,perturbation,1,distractor_irrelevant,390
582,291,original,0,,2
583,291,perturbation,1,distractor_irrelevant,2
584,292,original,0,,75
585,292,perturbation,1,distractor_irrelevant,75
586,293,original,0,,83
587,293,perturbation,1,distractor_irrelevant,83
588,294,original,0,,3
589,294,perturbation,1,distractor_irrelevant,3
590,295,original,0,,370
591,295,perturbation,1,distractor_irrelevant,370
592,296,original,0,,3
593,296,perturbation,1,distractor_irrelevant,3
594,297,original,0,,55
595,297,perturbation,1,distractor_irrelevant,55
596,298,original,0,,500
597,298,perturbation,1,distractor_irrelevant,500
598,299,original,0,,31800
599,299,perturbation,1,distractor_irrelevant,31800
600,300,original,0,,78
601,300,perturbation,1,distractor_irrelevant,78
602,301,original,0,,8
603,301,perturbation,1,distractor_irrelevant,8
604,302,original,0,,15
605,302,perturbation,1,distractor_irrelevant,15
606,303,original,0,,1300
607,303,perturbation,1,distractor_irrelevant,1300
608,304,original,0,,3200
609,304,perturbation,1,distractor_irrelevant,3200
610,305,original,0,,4
611,305,perturbation,1,distractor_irrelevant,4
612,306,original,0,,10
613,306,perturbation,1,distractor_irrelevant,10
614,307,original,0,,16
615,307,perturbation,1,distractor_irrelevant,16
616,308,original,0,,6
617,308,perturbation,1,distractor_irrelevant,6
618,309,original,0,,8
619,309,perturbation,1,distractor_irrelevant,8
620,310,original,0,,2050
621,310,perturbation,1,distractor_irrelevant,2050
622,311,original,0,,91
623,311,perturbation,1,distractor_irrelevant,91
624,312,original,0,,32
625,312,perturbation,1,distractor_irrelevant,32
626,313,original,0,,120000
627,313,perturbation,1,distractor_irrelevant,120000
628,314,original,0,,30
629,314,perturbation,1,distractor_irrelevant,30
630,315,original,0,,14
631,315,perturbation,1,distractor_irrelevant,14
632,316,original,0,,156
633,316,perturbation,1,distractor_irrelevant,156
634,317,original,0,,12
635,317,perturbation,1,distractor_irrelevant,12
636,318,original,0,,123
637,318,perturbation,1,distractor_irrelevant,123
638,319,original,0,,15
639,319,perturbation,1,distractor_irrelevant,15
640,320,original,0,,8
641,320,perturbation,1,distractor_irrelevant,8
642,321,original,0,,1
643,321,perturbation,1,distractor_irrelevant,1
644,322,original,0,,9
645,322,perturbation,1,distractor_irrelevant,9
646,323,original,0,,75
647,323,perturbation,1,distractor_irrelevant,75
648,324,original,0,,14
649,324,perturbation,1,distractor_irrelevant,14
650,325,original,0,,224000
651,325,perturbation,1,distractor_irrelevant,224000
652,326,original,0,,14
653,326,perturbation,1,distractor_irrelevant,14
654,327,original,0,,31
655,327,perturbation,1,distractor_irrelevant,31
656,328,original,0,,2
657,328,perturbation,1,distractor_irrelevant,2
658,329,original,0,,14
659,329,perturbation,1,distractor_irrelevant,14
660,330,original,0,,31
661,330,perturbation,1,distractor_irrelevant,31
662,331,original,0,,8400
663,331,perturbation,1,distractor_irrelevant,8400
664,332,original,0,,44
665,332,perturbation,1,distractor_irrelevant,44
666,333,original,0,,100
667,333,perturbation,1,distractor_irrelevant,100
668,334,original,0,,6
669,334,perturbation,1,distractor_irrelevant,6
670,335,original,0,,310
671,335,perturbation,1,distractor_irrelevant,310
672,336,original,0,,72
673,336,perturbation,1,distractor_irrelevant,72
674,337,original,0,,1
675,337,perturbation,1,distractor_irrelevant,1
676,338,original,0,,60
677,338,perturbation,1,distractor_irrelevant,60
678,339,original,0,,160
679,339,perturbation,1,distractor_irrelevant,160
680,340,original,0,,4
681,340,perturbation,1,distractor_irrelevant,4
682,341,original,0,,260
683,341,perturbation,1,distractor_irrelevant,260
684,342,original,0,,87
685,342,perturbation,1,distractor_irrelevant,87
686,343,original,0,,180000
687,343,perturbation,1,distractor_irrelevant,180000
688,344,original,0,,2
689,344,perturbation,1,distractor_irrelevant,2
690,345,original,0,,310
691,345,perturbation,1,distractor_irrelevant,310
692,346,original,0,,9
693,346,perturbation,1,distractor_irrelevant,9
694,347,original,0,,36
695,347,perturbation,1,distractor_irrelevant,36
696,348,original,0,,10
697,348,perturbation,1,distractor_irrelevant,10
698,349,original,0,,2640
699,349,perturbation,1,distractor_irrelevant,2640
700,350,original,0,,8
701,350,perturbation,1,distractor_irrelevant,8
702,351,original,0,,10
703,351,perturbation,1,distractor_irrelevant,10
704,352,original,0,,21
705,352,perturbation,1,distractor_irrelevant,21
706,353,original,0,,20
707,353,perturbation,1,distractor_irrelevant,20
708,354,original,0,,45
709,354,perturbation,1,distractor_irrelevant,45
710,355,original,0,,34
711,355,perturbation,1,distractor_irrelevant,34
712,356,original,0,,21
713,356,perturbation,1,distractor_irrelevant,21
714,357,original,0,,2
715,357,perturbation,1,distractor_irrelevant,2
716,358,original,0,,20
717,358,perturbation,1,distractor_irrelevant,20
718,359,original,0,,4
719,359,perturbation,1,distractor_irrelevant,4
720,360,original,0,,25
721,360,perturbation,1,distractor_irrelevant,25
722,361,original,0,,20
723,361,perturbation,1,distractor_irrelevant,20
724,362,original,0,,23
725,362,perturbation,1,distractor_irrelevant,23
726,363,original,0,,6
727,363,perturbation,1,distractor_irrelevant,6
728,364,original,0,,49
729,364,perturbation,1,distractor_irrelevant,49
730,365,original,0,,18
731,365,perturbation,1,distractor_irrelevant,18
732,366,original,0,,9
733,366,perturbation,1,distractor_irrelevant,9
734,367,original,0,,19
735,367,perturbation,1,distractor_irrelevant,19
736,368,original,0,,18
737,368,perturbation,1,distractor_irrelevant,18
738,369,original,0,,1198
739,369,perturbation,1,distractor_irrelevant,1198
740,370,original,0,,320
741,370,perturbation,1,distractor_irrelevant,320
742,371,original,0,,50
743,371,perturbation,1,distractor_irrelevant,50
744,372,original,0,,5
745,372,perturbation,1,distractor_irrelevant,5
746,373,original,0,,240000
747,373,perturbation,1,distractor_irrelevant,240000
748,374,original,0,,45
749,374,perturbation,1,distractor_irrelevant,45
750,375,original,0,,48
751,375,perturbation,1,distractor_irrelevant,48
752,376,original,0,,15
753,376,perturbation,1,distractor_irrelevant,15
754,377,original,0,,50
755,377,perturbation,1,distractor_irrelevant,50
756,378,original,0,,15
757,378,perturbation,1,distractor_irrelevant,15
758,379,original,0,,21
759,379,perturbation,1,distractor_irrelevant,21
760,380,original,0,,803
761,380,perturbation,1,distractor_irrelevant,803
762,381,original,0,,67
763,381,perturbation,1,distractor_irrelevant,67
764,382,original,0,,350
765,382,perturbation,1,distractor_irrelevant,350
766,383,original,0,,2
767,383,perturbation,1,distractor_irrelevant,2
768,384,original,0,,32
769,384,perturbation,1,distractor_irrelevant,32
770,385,original,0,,16
771,385,perturbation,1,distractor_irrelevant,16
772,386,original,0,,80
773,386,perturbation,1,distractor_irrelevant,80
774,387,original,0,,36
775,387,perturbation,1,distractor_irrelevant,36
776,388,original,0,,88
777,388,perturbation,1,distractor_irrelevant,88
778,389,original,0,,6
779,389,perturbation,1,distractor_irrelevant,6
780,390,original,0,,12
781,390,perturbation,1,distractor_irrelevant,12
782,391,original,0,,15
783,391,perturbation,1,distractor_irrelevant,15
784,392,original,0,,34
785,392,perturbation,1,distractor_irrelevant,34
786,393,original,0,,20
787,393,perturbation,1,distractor_irrelevant,20
788,394,original,0,,92
789,394,perturbation,1,distractor_irrelevant,92
790,395,original,0,,38
791,395,perturbation,1,distractor_irrelevant,38
792,396,original,0,,3
793,396,perturbation,1,distractor_irrelevant,3
794,397,original,0,,25
795,397,perturbation,1,distractor_irrelevant,25
796,398,original,0,,168
797,398,perturbation,1,distractor_irrelevant,168
798,399,original,0,,12
799,399,perturbation,1,distractor_irrelevant,12
800,400,original,0,,48
801,400,perturbation,1,distractor_irrelevant,48
802,401,original,0,,14400
803,401,perturbation,1,distractor_irrelevant,14400
804,402,original,0,,4
805,402,perturbation,1,distractor_irrelevant,4
806,403,original,0,,81
807,403,perturbation,1,distractor_irrelevant,81
808,404,original,0,,22
809,404,perturbation,1,distractor_irrelevant,22
810,405,original,0,,50
811,405,perturbation,1,distractor_irrelevant,50
812,406,original,0,,200
813,406,perturbation,1,distractor_irrelevant,200
