row_idx,original_sample_idx,variant_kind,variant_index,paraphrase_style,gold_numeric,numbers_preserved
107,35,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",9,true
108,36,original,0,,75,true
109,36,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",75,true
110,36,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",75,true
111,37,original,0,,2,true
112,37,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",2,true
113,37,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",2,true
114,38,original,0,,10,true
115,38,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",10,true
116,38,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",10,true
117,39,original,0,,18,true
118,39,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",18,true
119,39,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",18,true
120,40,original,0,,8,true
121,40,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",8,true
122,40,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",8,true
123,41,original,0,,200,true
124,41,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",200,false
125,41,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",200,false
126,42,original,0,,26,true
127,42,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",26,true
128,42,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",26,true
129,43,original,0,,48,true
130,43,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",48,true
131,43,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",48,true
132,44,original,0,,20,true
133,44,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",20,true
134,44,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",20,true
135,45,original,0,,104,true
136,45,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",104,true
137,45,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",104,true
138,46,original,0,,163,true
139,46,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",163,true
140,46,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",163,true
141,47,original,0,,800,true
142,47,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",800,true
143,47,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",800,true
144,48,original,0,,8,true
145,48,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",8,false
146,48,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",8,true
147,49,original,0,,30,true
148,49,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",30,false
149,49,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",30,true
